product_id,name,brand,category,subcategory,price,description,skill_level,use_case,in_stock
P402,Audio-Technica AT2020 Condenser,Audio-Technica,Microphones,Condenser Mic,99.99,"Cardioid condenser, extended frequency response, studio use",beginner-intermediate,studio recording,true
P403,Rode NT1 Condenser,Rode,Microphones,Condenser Mic,269.99,"Ultra-low noise, self-noise 4.5dB, home studio essential",intermediate-advanced,studio recording,true
P404,Shure SM7dB Active Dynamic,Shure,Microphones,Dynamic Mic,399.99,"Built-in preamp, broadcast quality, podcasting and vocals",intermediate-advanced,home studio,true
P501,Focusrite Scarlett 2i2 4th Gen,Focusrite,Recording,Audio Interface,179.99,"2-in/2-out USB-C, Air mode, professional preamps",beginner-intermediate,home studio,true
P502,Universal Audio Apollo Twin X,Universal Audio,Recording,Audio Interface,899.99,"Thunderbolt, UAD DSP processing, elite preamps",advanced,studio recording,true
P503,PreSonus AudioBox GO,PreSonus,Recording,Audio Interface,49.99,"Bus-powered USB, 2-in/2-out, ultra portable",beginner,home studio,true
P504,Ableton Live 11 Suite,Ableton,Recording,DAW Software,749.00,"Complete music production, 70GB sounds, Max for Live",intermediate-advanced,home studio,true
P505,Logic Pro,Apple,Recording,DAW Software,199.99,"Industry standard Mac DAW, 2500 instruments, Dolby Atmos",intermediate-advanced,studio recording,true
P506,GarageBand,Apple,Recording,DAW Software,0.00,"Free Mac DAW, 1000 loops, perfect beginner starting point",beginner,home studio,true
P601,Boss TU-3 Chromatic Tuner,Boss,Accessories,Tuner,59.99,"Stage-ready tuner, true bypass, supports all instruments",beginner-advanced,live performance,true
P602,Ernie Ball Regular Slinky Strings,Ernie Ball,Accessories,Strings,6.99,"10-46 gauge electric strings, most popular choice worldwide",beginner-advanced,practice,true
P603,Mogami Gold Instrument Cable 18ft,Mogami,Accessories,Cables,59.99,"Gold-plated connectors, ultra-quiet, lifetime warranty",intermediate-advanced,live performance,true
P604,On-Stage Stands Guitar Stand,On-Stage,Accessories,Stands,24.99,"A-frame guitar stand, rubber padding, compact folding",beginner-advanced,practice,true
P605,Fender 351 Premium Picks 12-Pack,Fender,Accessories,Picks,6.99,"Celluloid picks, classic shape, mixed gauges sampler",beginner-advanced,practice,true
